tile,lon_min,lat_min,lon_max,lat_max
T05KRA,-150.180254987,-18.1560086932,-149.128504243,-17.1477141743
T06KTF,-149.835615592,-18.1685096556,-148.788497304,-17.1647414463
T11SPC,-115.863282409,37.8353021099,-114.583267797,38.8433146054
T14SPE,-97.9021461612,35.1330063316,-96.668785361,36.1397407305
T14SPF,-97.8897603087,36.0341050484,-96.6415324537,37.0412540476
T14SQE,-96.8052687156,35.1072181615,-95.5595812636,36.124284255
T14SQF,-96.7805264921,36.0074510114,-95.5194144911,37.0252843026
T18QWF,-75.0001900155,17.9973561909,-73.9570691437,18.9925217474
T18QXF,-74.0554259325,17.9900009859,-73.0071844626,18.9900834117
T18QXG,-74.0504710036,18.8934577178,-72.9961298883,19.8938634381
T18QXH,-74.0452263916,19.7968209229,-72.9844510562,20.7975503812
T18QYF,-73.1115120643,17.9780612804,-72.0584774543,18.9827755105
T18QYG,-73.1016110912,18.8808753891,-72.0421758406,19.8861798582
T18QYH,-73.0911313639,19.783589289,-72.0249539474,20.7894869813
T18QZF,-72.1675963036,17.9615383161,-71.1100978128,18.9705988853
T18QZG,-72.1527601084,18.86346327,-71.0885689839,19.8733773434
T18TUR,-77.5840651204,45.0370231163,-76.1456345355,46.0476276225
T18TUS,-77.6270101924,45.9364192287,-76.164044483,46.9475736554
T18TVR,-76.2930489153,45.0581916698,-74.8738327628,46.0535047353
T18TVS,-76.3145607529,45.9582586884,-74.8717330549,46.9536373338
T18TWR,-75.0002585397,45.0567485926,-73.5810958557,46.0535743695
T18TWS,-75.0002628424,45.9567698586,-73.5574919021,46.9537091787
T18TWT,-75.0002673577,46.8566398814,-73.5327226232,47.853701842
T18TXS,-73.7095159313,45.9334965044,-72.244415084,46.9461682535
T18TXT,-73.6881131145,46.8326283187,-72.1971533171,47.8459210516
T18TYR,-72.4612931365,44.9975876117,-71.0006794401,46.0243650752
T18TYS,-72.4205405445,45.8957352511,-70.9343428673,46.9235730578
T18TYT,-72.3778043445,46.7936706873,-70.8647415247,47.8226075595
T18UVU,-76.3608231977,47.7574035313,-74.86721739,48.7529365093
T18UWU,-75.0002720959,47.7558186453,-73.5067305244,48.753013004
T18UXU,-73.665668651,47.7310444772,-72.1475612915,48.7449841112
T18UXV,-73.6420892302,48.6298215752,-72.0954272371,49.644436702
T18UYU,-72.3329905819,47.6908510648,-70.7917155642,48.7209276976
T18UYV,-72.2859133423,48.58834878,-70.7149543571,49.6196101137
T19LGH,-67.1708085493,-11.8425436217,-66.1572883711,-10.8424452223
T19LHH,-66.2564539926,-11.8351146475,-65.240603052,-10.8326847323
T19TCM,-71.6270101924,45.9364192287,-70.164044483,46.9475736554
T19TCN,-71.6720732405,46.8356437137,-70.1833515331,47.8473711519
T20LLQ,-64.8247922561,-10.0382998453,-63.8207171482,-9.0416854472
T20MQB,-61.2013034858,-3.70569975277,-60.2115792326,-2.71094955181
T20MQC,-61.2024168947,-2.80126618523,-60.2140621343,-1.80712736495
T20MRB,-60.3021545063,-3.70340392626,-59.3123152562,-2.70853541769
T20MRC,-60.3038231264,-2.79953168673,-59.3155950129,-1.80551873568
T20NMP,-63.9080887411,7.14792556358,-62.911402205,8.14202447886
T20NNP,-63.0001815529,7.14774377798,-62.0035075255,8.142034146
T20PMQ,-63.9102439067,8.05256467056,-62.911191901,9.04673260729
T20PNQ,-63.0001819839,8.05235960109,-62.0011426326,9.04674336508
T20PPB,-62.0724756849,14.3764033327,-61.0454471501,15.3751903123
T20PPC,-62.0686170334,15.2796516784,-61.0367482974,16.2787634972
T20PQB,-61.1455816407,14.3669745574,-60.1149034586,15.3693481088
T20QPD,-62.0644913719,16.1833649276,-61.0274765474,17.1828008442
T21LWG,-57.0001842506,-12.752446755,-55.9887040543,-11.7577225445
T21LWH,-57.0001836218,-11.8484895756,-55.9921542202,-10.8538424371
T21LWK,-57.0001825112,-10.0393213194,-55.9982488515,-9.04483987088
T21LXJ,-56.0877305121,-10.9425610098,-55.0802620793,-9.94539087453
T21LXK,-56.0901213767,-10.0380658509,-55.0858266055,-9.04123232293
T21LYK,-55.1808430854,-10.0343030261,-54.1744543458,-9.03537595515
T21MTS,-59.7008092162,-3.7058743344,-58.7111094242,-2.71114893982
T21MTT,-59.6984040921,-2.8013980817,-58.7100501665,-1.80726022467
T21MUS,-58.8007940488,-3.70716321509,-57.8114815282,-2.71282886794
T21MVS,-57.9008696072,-3.70753285293,-56.9121066562,-2.71383714247
T21MVT,-57.9000663092,-2.80265109233,-56.9121850427,-1.80905147404
T21MWS,-57.0001801094,-3.70753723231,-56.0114291848,-2.71376841918
T21MWT,-57.0001799488,-2.80265440095,-56.0123106556,-1.80900568118
T21MXS,-56.1003600251,-3.70707753687,-55.1109986067,-2.7126939034
T21NXE,-56.099665257,3.5286529511,-55.109075119,4.52336316599
T21NXF,-56.0986820668,4.43248342704,-55.1064939453,5.42755134191
T21NXG,-56.097472397,5.33683314603,-55.1034341558,6.33225490764
T21NYD,-55.2014320633,2.62257400227,-54.2118526373,3.61726461642
T21NYE,-55.1999150851,3.5263827838,-54.2087423348,4.5216808951
T21NYF,-55.1979503145,4.42962977465,-54.2049354462,5.42553102024
T21NYG,-55.1955329598,5.33339430125,-54.2004226799,6.3298953668
T21NZC,-54.3039503836,1.71722069481,-53.3158665578,2.71114974558
T21NZD,-54.3023472,2.62023867493,-53.3126764061,3.61502372057
T21NZE,-54.3000737709,3.52324093895,-53.3085679055,4.51887769954
T21NZF,-54.2971292617,4.42568040997,-53.3035392837,5.42216452952
T21NZG,-54.293506497,5.32863505832,-53.2975782806,6.32596363651
T22KHA,-48.1012086515,-22.6687661646,-47.0140356809,-21.6561717294
T22LGP,-49.1760653517,-10.9384514081,-48.1662476858,-9.93893791644
T22LHN,-48.2564539926,-11.8351146475,-47.240603052,-10.8326847323
T22LHP,-48.2643318375,-10.9316036127,-47.2524369675,-9.93000738897
T22LHQ,-48.2714917997,-10.0280330442,-47.2632768589,-9.02727104242
T22MHA,-48.2998170079,-4.6067134874,-47.3081195006,-3.61099416881
T22MHB,-48.3021545063,-3.70340392626,-47.3123152562,-2.70853541769
T22MHC,-48.3038231264,-2.79953168673,-47.3155950129,-1.80551873568
T22NBH,-53.6982049621,1.7188769668,-52.7099693823,2.712957132
T22NBJ,-53.700544376,2.62276688147,-52.7109871001,3.61743502096
T22NBK,-53.7035572483,3.52664227503,-52.7124302997,4.52189405877
T22NBL,-53.7072448875,4.42995596089,-52.7142995134,5.42578701884
T22NBM,-53.7116162949,5.33378737751,-52.7165993003,6.33019434832
T22NCJ,-52.8006173183,2.62439196998,-51.8114234901,3.61869306337
T22NCK,-52.8026278402,3.52882859931,-51.8121082331,4.52346777892
T22NCL,-52.8050886489,4.43270422104,-51.8129951048,5.42767697678
T22NCM,-52.8080057557,5.33709921802,-51.8140862691,6.33240163714
T22NDH,-51.899999801,1.72058056406,-50.9121915327,2.71417052694
T22NDJ,-51.9007811519,2.6253673303,-50.9121152877,3.61905385709
T22NDK,-51.9017874379,3.53014080826,-50.9120170934,4.52391910601
T23KKR,-47.9195800668,-22.6846772812,-46.8386850041,-21.6780695856
T23KLR,-46.946797011,-22.6929792449,-45.8720144343,-21.6921468314
T23MKS,-47.7008092162,-3.7058743344,-46.7111094242,-2.71114893982
T23MKT,-47.6984040921,-2.8013980817,-46.7100501665,-1.80726022467
T23MLS,-46.8007940488,-3.70716321509,-45.8114815282,-2.71282886794
T23MLT,-46.7991890873,-2.80237183106,-45.8109789513,-1.80837962348
T25LBL,-35.7295446551,-9.13107848161,-34.7264816819,-8.13290783995
T25MBM,-35.7230232613,-8.22678774165,-34.7228308395,-7.22918359405
T25MBN,-35.7172033645,-7.32245455351,-34.7196202183,-6.3254195895
T25MBP,-35.7120805204,-6.41862601124,-34.7168473329,-5.42216291457
T25SFD,-31.849128723145,38.735935211182,-30.552114486694,39.744400024414
T25TFE,-31.834335327148,39.635871887207,-30.519550323486,40.644798278809
T26SLH,-29.303930282593,37.837501525879,-28.025337219238,38.844375610352
T26SLJ,-29.333633422852,38.738208770752,-28.038105010986,39.745494842529
T26SMH,-28.152751922607,37.853950500488,-26.887525558472,38.848945617676
T26SMJ,-28.167625427246,38.755195617676,-26.886074066162,39.750213623047
T26SNG,-27.000226974487,36.951480865479,-25.750646591187,37.947589874268
T26SNH,-27.000230789185,37.852828979492,-25.735040664673,38.848999023438
T26SPF,-25.889760971069,36.034103393555,-24.641532897949,37.041255950928
T26SPG,-25.876819610596,36.934509277344,-24.61305809021,37.942085266113
T27RYL,-18.984476089478,26.99956703186,-17.850755691528,28.010387420654
T27RYM,-18.967985153198,27.901191711426,-17.823917388916,28.912660598755
T27RYN,-18.950721740723,28.802137374878,-17.795837402344,29.814262390137
T28PBA,-17.7828169505,13.4647335416,-16.7572746906,14.46621164
T28PBB,-17.7944570912,14.3680522943,-16.7641213731,15.3700883773
T28PCA,-16.8555206987,13.4732217328,-15.8333855845,14.4713414905
T28PCB,-16.8632889144,14.3771328743,-15.8366342042,15.3755536177
T28PCU,-16.8415380347,11.665740832,-15.8275756729,12.6632533526
T28PCV,-16.8482723034,12.5692421659,-15.830366857,13.5670592145
T28PDA,-15.9282614395,13.4783163863,-14.9094337157,14.472812699
T28PDB,-15.932149696,14.382583104,-14.9090542898,15.377121017
T28PDC,-15.9363007874,15.2862375051,-14.908649215,16.2808136044
T28PDU,-15.9212627045,11.6701320237,-14.9101166677,12.664534421
T28PDV,-15.9246333939,12.5739838021,-14.9097877487,13.5684349786
T28PEA,-15.0001855867,13.4779691351,-13.9813717686,14.4728301296
T28PEB,-15.0001863642,14.3822116162,-13.9771051414,15.3771395872
T28PEC,-15.0001871943,15.2858416073,-13.9725501047,16.2808333231
T28PES,-15.0001829881,9.86092309167,-13.9956317944,10.8554812216
T28PET,-15.000183563,10.7654046302,-13.9924771555,11.7600440278
T28PEU,-15.0001841872,11.6698327211,-13.9890515632,12.6645495989
T28PEV,-15.0001848613,12.5736606129,-13.985352865,13.5684512784
T28PFA,-14.0760771109,13.4725397857,-13.0535952801,14.4710004808
T28PFB,-14.0724756849,14.3764033327,-13.0454471501,15.3751903123
T28PFC,-14.0686170334,15.2796516784,-13.0367482974,16.2787634972
T28PFS,-14.0879748154,9.85698404895,-13.0808285737,10.8541213912
T28PFT,-14.0853677909,10.7610963298,-13.0748039011,11.7585678865
T28PFU,-14.0825179935,11.6651530453,-13.0682618017,12.662956415
T28PFV,-14.0794236793,12.5686074711,-13.0611981736,13.5667403277
T28PGA,-13.1527782974,13.4637261101,-12.1269199032,14.465516799
T28PGB,-13.1455816407,14.3669745574,-12.1149034586,15.3693481088
T28PGC,-13.1378710242,15.269603411,-12.102074988,16.2725600024
T28PGS,-13.1765535492,9.85058955963,-12.1670831587,10.8500457838
T28PGT,-13.1713438765,10.7541024225,-12.1581979308,11.7541436852
T28PGU,-13.1656490916,11.6575562881,-12.1485496822,12.6581814291
T28PGV,-13.1594657164,12.5604044766,-12.1381323844,13.5616123882
T28PHA,-12.2294342936,13.451528723,-11.2004918704,14.4563795123
T28PHR,-12.2721496839,8.93953966586,-11.2642778188,9.94022055048
T28PHS,-12.2650634532,9.841739946,-11.2535405094,10.8432546307
T28PHT,-12.2572562314,10.7444232905,-11.2418044382,11.7467716961
T28PHU,-12.2487220846,11.6470428996,-11.2290606826,12.6502249592
T28PHV,-12.2394558184,12.5490521565,-11.2153013187,13.5530678297
T28QDD,-15.9407253021,16.1903604167,-14.9082174577,17.1849714845
T28QED,-15.0001880791,16.1899398918,-13.9676950402,17.1849923625
T28QFD,-14.0644913719,16.1833649276,-13.0274765474,17.1828008442
T28QGD,-13.1296269064,16.1726916738,-12.0884018209,17.1762326403
T28RBR,-18.050336837769,27.001707077026,-16.917392730713,28.01181602478
T28RBS,-18.076335906982,27.903415679932,-16.933084487915,28.914144515991
T28RBT,-18.103536605835,28.804445266724,-16.949508666992,29.815801620483
T28RCR,-17.034076690674,27.019735336304,-15.909363746643,28.022371292114
T28RCS,-17.051431655884,27.922149658203,-15.916810035706,28.925102233887
T28RCU,-17.088603973389,29.726049423218,-15.932768821716,30.729650497437
T28RDR,-16.017641067505,27.030557632446,-14.900712013245,28.025400161743
T28RDS,-16.026329040527,27.933393478394,-14.899863243103,28.928245544434
T28RDU,-16.044939041138,29.738161087036,-14.898047447205,30.733030319214
T28RES,-15.000205039978,27.932626724243,-13.873761177063,28.928281784058
T28RET,-15.000206947327,28.834772109985,-13.863785743713,29.830467224121
T28RFS,-13.983592987061,27.920644760132,-12.848105430603,28.924373626709
T28RFT,-13.974952697754,28.822330474854,-12.82905960083,29.826412200928
T28SBB,-18.225532531738,32.408721923828,-17.023244857788,33.422698974609
T28SCA,-17.129283905029,31.529415130615,-15.950247764587,32.533687591553
T28SCB,-17.151037216187,32.431163787842,-15.959597587585,33.435779571533
T28UGC,-12.129784584045,51.278926849365,-10.460020065308,52.314037322998
T29PKL,-11.7360371655,8.94822735932,-10.7301571019,9.94690708352
T29PKM,-11.7439115466,9.85132047578,-10.7346556694,10.8505622091
T29PKN,-11.7525184883,10.7549018533,-10.7396119821,11.7547042808
T29PKP,-11.7618645622,11.6584246255,-10.7450298178,12.6587864723
T29PKQ,-11.7719556101,12.5613421072,-10.7509124863,13.5622621536
T29PKR,-11.7828169505,13.4647335416,-10.7572746906,14.46621164
T29PKS,-11.7944570912,14.3680522943,-10.7641213731,15.3700883773
T29PKT,-11.8068838456,15.2707519549,-10.7714570273,16.2733460491
T29PLK,-10.8195234169,8.04955600047,-9.81859647098,9.04582460535
T29PLL,-10.8243023902,8.95381175845,-9.82051898876,9.95039567902
T29PLM,-10.8295572327,9.85747881005,-9.82265342305,10.8543748365
T29PLN,-10.8353009817,10.7616374707,-9.82500505269,11.7588430098
T29PLP,-10.8415380347,11.665740832,-9.82757567288,12.6632533526
T29PLQ,-10.8482723034,12.5692421659,-9.83036685695,13.5670592145
T29PLR,-10.8555206987,13.4732217328,-9.83338558451,14.4713414905
T29PLS,-10.8632889144,14.3771328743,-9.8366342042,15.3755536177
T29PLT,-10.8715821824,15.280429155,-9.84011485215,16.2791492706
T29PMK,-9.9102439067,8.05256467056,-8.911191901,9.04673260729
T29PML,-9.91263587018,8.95716348988,-8.91095848964,9.95139617834
T29PMM,-9.91526602582,9.86117502422,-8.91070183477,10.8554682669
T29PMN,-9.91814090238,10.76568018,-8.91042129921,11.760029965
T29PMP,-9.92126270446,11.6701320237,-8.91011666771,12.664534421
T29PMQ,-9.92463339391,12.5739838021,-8.90978774871,13.5684349786
T29PMR,-9.92826143946,13.4783163863,-8.90943371566,14.472812699
T29PMS,-9.93214969595,14.382583104,-8.90905428983,15.377121017
T29PMT,-9.9363007874,15.2862375051,-8.90864921499,16.2808136044
T29PNK,-9.00018198388,8.05235960109,-8.00114263264,9.04674336508
T29PNL,-9.00018246219,8.95693503734,-7.99851789886,9.95140803202
T29PNM,-9.00018298812,9.86092309167,-7.99563179442,10.8554812216
T29PNN,-9.00018356299,10.7654046302,-7.99247715548,11.7600440278
T29PNP,-9.00018418724,11.6698327211,-7.98905156318,12.6645495989
T29PNQ,-9.00018486125,12.5736606129,-7.98535286504,13.5684512784
T29PNR,-9.00018558673,13.4779691351,-7.98137176856,14.4728301296
T29PNS,-9.00018636424,14.3822116162,-7.97710514144,15.3771395872
T29PNT,-9.00018719432,15.2858416073,-7.97255010472,16.2808333231
T29PPK,-8.09247236775,8.04915327057,-7.09135314706,9.04561414017
T29PPL,-8.09034105704,8.95336310801,-7.08634043091,9.95016377401
T29PPM,-8.08797481541,9.85698404895,-7.08082857368,10.8541213912
T29PPN,-8.08536779089,10.7610963298,-7.07480390112,11.7585678865
T29PPP,-8.08251799353,11.6651530453,-7.06826180173,12.662956415
T29PPQ,-8.07942367933,12.5686074711,-7.06119817361,13.5667403277
T29PPR,-8.07607711093,13.4725397857,-7.05359528009,14.4710004808
T29PPS,-8.0724756849,14.3764033327,-7.0454471501,15.3751903123
T29PPT,-8.0686170334,15.2796516784,-7.0367482974,16.2787634972
T29PQK,-7.1855411571,8.04394821136,-6.18260504762,9.04222968127
T29PQL,-7.1812820799,8.94756456081,-6.1752121477,9.9464345482
T29PQM,-7.1765535492,9.85058955963,-6.16708315872,10.8500457838
T29PQN,-7.17134387649,10.7541024225,-6.15819793084,11.7541436852
T29PQP,-7.16564909157,11.6575562881,-6.14854968217,12.6581814291
T29PQQ,-7.15946571645,12.5604044766,-6.13813238438,13.5616123882
T29PQR,-7.15277829741,13.4637261101,-6.12691990317,14.465516799
T29PQS,-7.14558164068,14.3669745574,-6.11490345857,15.3693481088
T29PQT,-7.13787102423,15.269603411,-6.10207498798,16.2725600024
T29PRL,-6.27214968389,8.93953966586,-5.2642778188,9.94022055048
T29PRM,-6.26506345322,9.841739946,-5.25354050936,10.8432546307
T29PRN,-6.25725623142,10.7444232905,-5.24180443824,11.7467716961
T29PRP,-6.24872208463,11.6470428996,-5.22906068264,12.6502249592
T29PRQ,-6.23945581838,12.5490521565,-5.21530131867,13.5530678297
T29PRR,-6.22943429362,13.451528723,-5.20049187044,14.4563795123
T29PRS,-6.21864974891,14.353926004,-5.18462078864,15.3596134706
T29PRT,-6.20709513177,15.2556976292,-5.16767747591,16.2622234061
T29RMM,-10.0263297929,27.9333941674,-8.89986369785,28.9282454963
T29RMN,-10.035420201,28.8355681524,-8.89897658016,29.8304286928
T29RMP,-10.0449388796,29.7381603676,-8.89804766286,30.7330299888
T29RMQ,-10.054896986,30.6406267898,-8.89707585634,31.6355056283
T29RNM,-9.00020519747,27.9326276748,-7.87376087949,28.9282827332
T29RNN,-9.00020701534,28.8347723909,-7.86378599608,29.83046732
T29RNP,-9.00020891886,29.7373348222,-7.85334118481,30.7330700318
T29RNQ,-9.00021091028,30.6397709351,-7.842414205,31.6355471131
T29RPN,-7.97495277858,28.8223311059,-6.82905929596,29.8264127664
T29RPP,-7.96590116664,29.7244279453,-6.8091166686,30.7288668795
T29RPQ,-7.95642833975,30.626390258,-6.78825383349,31.6311926292
T29RQN,-6.95072083777,28.8021371689,-5.79583778035,29.8142615342
T29RQP,-6.93263653693,29.703478533,-5.76643746134,30.7162703816
T29SMA,-10.124935150146,36.051578521729,-8.89024066925,37.046531677246
T29SMB,-10.138528823853,36.952564239502,-8.888914108276,37.947536468506
T29SMC,-10.152750968933,37.853950500488,-8.887525558472,38.848945617676
T29SMD,-10.167624473572,38.755195617676,-8.886074066162,39.750213623047
T29SMR,-10.0653057527,31.5424238141,-8.8960600635,32.5373122829
T29SMS,-10.0761965047,32.4446317993,-8.8949972264,33.4395306156
T29SNA,-9.000225067139,36.05052947998,-7.765562057495,37.046581268311
T29SNB,-9.000227928162,36.951480865479,-7.750645637512,37.947589874268
T29SNC,-9.000230789185,37.852828979492,-7.735039710999,38.848999023438
T29SND,-9.000233650208,38.754035949707,-7.718719482422,39.750267028809
T29SNR,-9.00021299182,31.5415371135,-7.83099273308,32.537355236
T29SNS,-9.00021516978,32.4437136478,-7.81904239878,33.4395750671
T29SNT,-9.00021744694,33.3457570767,-7.80654779652,34.3416634592
T29SPA,-7.889760494232,36.034103393555,-6.641532421112,37.041255950928
T29SPB,-7.876819610596,36.934509277344,-6.613057613373,37.942085266113
T29SPC,-7.863282203674,37.835300445557,-6.583267688751,38.843315124512
T29SPD,-7.84912776947,38.735935211182,-6.552114963531,39.744400024414
T29SPR,-7.94652400072,31.5276742562,-6.76644732212,32.5328466262
T29SPS,-7.9361587687,32.4293591611,-6.74363158042,33.4349091884
T29SPT,-7.92531974798,33.3309012795,-6.71977727077,34.3368370866
T29SQA,-6.780526638031,36.00745010376,-5.519414424896,37.025283813477
T29SQB,-6.754676818848,36.906970977783,-5.477448940277,37.925590515137
T29SQC,-6.727635860443,37.806858062744,-5.433547019958,38.826282501221
T29SQD,-6.699362754822,38.706562042236,-5.387639522552,39.72681427002
T29SQR,-6.89392375647,31.5051737443,-5.70353549605,32.5193348717
